id,vid,tupleid,tablename,attribute,oldvalue,newvalue,time
17,186398,55064,TB_FLIGHTS_DIRTY,actualdeparture,'5:00 PMDec 27','5:00 PMDec 31',2017-10-16 15:55:14.939421
18,81471,12831,TB_FLIGHTS_DIRTY,actualdeparture,'12/7/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
19,191871,38049,TB_FLIGHTS_DIRTY,actualdeparture,'5:01 PMDec 18','5:00 PMDec 31',2017-10-16 15:55:14.939421
20,204598,60107,TB_FLIGHTS_DIRTY,actualdeparture,'5:15 PMDec 29','5:00 PMDec 31',2017-10-16 15:55:14.939421
21,102375,10090,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-05 05:01PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
22,154993,50276,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-25 4:46 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
23,200936,297,TB_FLIGHTS_DIRTY,actualdeparture,'5:09 PMDec 01','5:00 PMDec 31',2017-10-16 15:55:14.939421
24,114991,17718,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-09 5:05 PM (runway)','5:00 PMDec 31',2017-10-16 15:55:14.939421
25,179417,7609,TB_FLIGHTS_DIRTY,actualdeparture,'4:51pDec 4','5:00 PMDec 31',2017-10-16 15:55:14.939421
26,156316,52616,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-26 04:50 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
27,59285,52611,TB_FLIGHTS_DIRTY,actualdeparture,'12/26/11 5:07 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
28,34149,33148,TB_FLIGHTS_DIRTY,actualdeparture,'12/16/11 5:23 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
29,196791,35667,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 17','5:00 PMDec 31',2017-10-16 15:55:14.939421
30,201072,33162,TB_FLIGHTS_DIRTY,actualdeparture,'5:09pDec 16','5:00 PMDec 31',2017-10-16 15:55:14.939421
31,180161,20265,TB_FLIGHTS_DIRTY,actualdeparture,'4:52pDec 10','5:00 PMDec 31',2017-10-16 15:55:14.939421
32,171220,67277,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-01 05:23PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
33,175301,72079,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-03 5:19 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
34,208798,22525,TB_FLIGHTS_DIRTY,actualdeparture,'5:41 PMDec 11','5:00 PMDec 31',2017-10-16 15:55:14.939421
35,25137,25058,TB_FLIGHTS_DIRTY,actualdeparture,'12/12/11 5:45 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
36,37689,38035,TB_FLIGHTS_DIRTY,actualdeparture,'12/18/11 5:01 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
37,183036,40592,TB_FLIGHTS_DIRTY,actualdeparture,'4:56 PMDec 19','5:00 PMDec 31',2017-10-16 15:55:14.939421
38,41194,40582,TB_FLIGHTS_DIRTY,actualdeparture,'12/19/11 4:56 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
39,76348,7595,TB_FLIGHTS_DIRTY,actualdeparture,'12/4/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
40,22083,22515,TB_FLIGHTS_DIRTY,actualdeparture,'12/11/11 5:41 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
41,645,67272,TB_FLIGHTS_DIRTY,actualdeparture,'1/1/12 5:23 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
42,88970,288,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-01 05:08 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
43,172879,69692,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-02 04:47 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
44,117162,20256,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-10 04:52 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
45,195636,48116,TB_FLIGHTS_DIRTY,actualdeparture,'5:06 PMDec 24','5:00 PMDec 31',2017-10-16 15:55:14.939421
46,128857,27553,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-13 4:55 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
47,151616,48106,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-24 05:06PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
48,176615,65036,TB_FLIGHTS_DIRTY,actualdeparture,'4:45pDec 31','5:00 PMDec 31',2017-10-16 15:55:14.939421
49,206625,33157,TB_FLIGHTS_DIRTY,actualdeparture,'5:23 PMDec 16','5:00 PMDec 31',2017-10-16 15:55:14.939421
50,91909,2859,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-02 05:28 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
51,197742,52621,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 26','5:00 PMDec 31',2017-10-16 15:55:14.939421
52,148842,45568,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-22 06:06PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
53,137874,35662,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-17 4:44 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
54,209746,25053,TB_FLIGHTS_DIRTY,actualdeparture,'December 12  2011               05:21 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
55,115863,17727,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-09 5:05 PM (runway)','5:00 PMDec 31',2017-10-16 15:55:14.939421
56,133627,33153,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-16 05:09 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
57,103764,10095,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-05 5:01 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
58,71653,62593,TB_FLIGHTS_DIRTY,actualdeparture,'12/30/11 5:14 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
59,189125,10100,TB_FLIGHTS_DIRTY,actualdeparture,'5:01 PMDec 05','5:00 PMDec 31',2017-10-16 15:55:14.939421
60,181620,57550,TB_FLIGHTS_DIRTY,actualdeparture,'4:53pDec 28','5:00 PMDec 31',2017-10-16 15:55:14.939421
61,200251,292,TB_FLIGHTS_DIRTY,actualdeparture,'5:09 PMDec 01','5:00 PMDec 31',2017-10-16 15:55:14.939421
62,132052,30068,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-14 6:19 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
63,192441,38054,TB_FLIGHTS_DIRTY,actualdeparture,'5:01 PMDec 18','5:00 PMDec 31',2017-10-16 15:55:14.939421
64,198660,57545,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 28','5:00 PMDec 31',2017-10-16 15:55:14.939421
65,205103,60112,TB_FLIGHTS_DIRTY,actualdeparture,'5:15 PMDec 29','5:00 PMDec 31',2017-10-16 15:55:14.939421
66,130861,30063,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-14 06:46PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
67,189929,20260,TB_FLIGHTS_DIRTY,actualdeparture,'5:01 PMDec 10','5:00 PMDec 31',2017-10-16 15:55:14.939421
68,205578,50281,TB_FLIGHTS_DIRTY,actualdeparture,'5:16 PMDec 25','5:00 PMDec 31',2017-10-16 15:55:14.939421
69,209357,45578,TB_FLIGHTS_DIRTY,actualdeparture,'6:06 PMDec 22','5:00 PMDec 31',2017-10-16 15:55:14.939421
70,149890,45573,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-22 5:47 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
71,194960,15166,TB_FLIGHTS_DIRTY,actualdeparture,'5:05pDec 8','5:00 PMDec 31',2017-10-16 15:55:14.939421
72,205943,15161,TB_FLIGHTS_DIRTY,actualdeparture,'5:21 PMDec 08','5:00 PMDec 31',2017-10-16 15:55:14.939421
73,201975,5415,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 03','5:00 PMDec 31',2017-10-16 15:55:14.939421
74,209946,65018,TB_FLIGHTS_DIRTY,actualdeparture,'December 31  2011               04:45 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
75,137111,35657,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-17 05:06PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
76,44088,2854,TB_FLIGHTS_DIRTY,actualdeparture,'12/2/11 5:28 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
77,145286,43068,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-20 04:54 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
78,141259,38045,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-18 4:46 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
79,198809,57546,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 28','5:00 PMDec 31',2017-10-16 15:55:14.939421
80,180651,48121,TB_FLIGHTS_DIRTY,actualdeparture,'4:52pDec 24','5:00 PMDec 31',2017-10-16 15:55:14.939421
81,185522,55060,TB_FLIGHTS_DIRTY,actualdeparture,'5:00 PMDec 27','5:00 PMDec 31',2017-10-16 15:55:14.939421
82,5792,69687,TB_FLIGHTS_DIRTY,actualdeparture,'1/2/12 5:08 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
83,123523,25062,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-12 05:21 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
84,174235,72075,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-03 05:19 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
85,133234,33152,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-16 05:09 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
86,207726,27548,TB_FLIGHTS_DIRTY,actualdeparture,'5:25 PMDec 13','5:00 PMDec 31',2017-10-16 15:55:14.939421
87,59835,52607,TB_FLIGHTS_DIRTY,actualdeparture,'12/26/2011 5:07PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
88,47528,43063,TB_FLIGHTS_DIRTY,actualdeparture,'12/20/11 5:05 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
89,201330,5410,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 03','5:00 PMDec 31',2017-10-16 15:55:14.939421
90,109681,15157,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-08 05:05 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
91,121006,22516,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-11 05:41PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
92,197587,52620,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 26','5:00 PMDec 31',2017-10-16 15:55:14.939421
93,122689,22530,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-11 5:25 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
94,8976,72074,TB_FLIGHTS_DIRTY,actualdeparture,'1/3/12 5:32 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
95,19623,20247,TB_FLIGHTS_DIRTY,actualdeparture,'12/10/2011 5:01PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
96,10245,279,TB_FLIGHTS_DIRTY,actualdeparture,'12/01/2011 05:08 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
97,185303,55059,TB_FLIGHTS_DIRTY,actualdeparture,'5:00 PMDec 27','5:00 PMDec 31',2017-10-16 15:55:14.939421
98,203855,62603,TB_FLIGHTS_DIRTY,actualdeparture,'5:14 PMDec 30','5:00 PMDec 31',2017-10-16 15:55:14.939421
99,75831,7594,TB_FLIGHTS_DIRTY,actualdeparture,'12/4/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
100,140887,38044,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-18 4:46 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
101,209608,30073,TB_FLIGHTS_DIRTY,actualdeparture,'6:46 PMDec 14','5:00 PMDec 31',2017-10-16 15:55:14.939421
102,103303,10105,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-05 05:01PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
103,168373,65023,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-31 05:00PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
104,70071,5402,TB_FLIGHTS_DIRTY,actualdeparture,'12/3/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
105,109231,15156,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-08 05:05 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
106,144200,40591,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-19 4:44 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
107,193173,17723,TB_FLIGHTS_DIRTY,actualdeparture,'5:04 PMDec 09','5:00 PMDec 31',2017-10-16 15:55:14.939421
108,51498,45563,TB_FLIGHTS_DIRTY,actualdeparture,'12/22/2011 6:06PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
109,137494,35658,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-17 05:06PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
110,201459,5411,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 03','5:00 PMDec 31',2017-10-16 15:55:14.939421
111,71127,62592,TB_FLIGHTS_DIRTY,actualdeparture,'12/30/11 5:14 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
112,126006,27540,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-13 04:55 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
113,93849,2858,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-02 05:28PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
114,48099,43064,TB_FLIGHTS_DIRTY,actualdeparture,'12/20/11 5:05 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
115,151959,48107,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-24 05:06PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
116,209258,45577,TB_FLIGHTS_DIRTY,actualdeparture,'6:06 PMDec 22','5:00 PMDec 31',2017-10-16 15:55:14.939421
117,173152,69688,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-02 05:08PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
118,209584,30072,TB_FLIGHTS_DIRTY,actualdeparture,'6:46 PMDec 14','5:00 PMDec 31',2017-10-16 15:55:14.939421
119,102839,10091,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-05 05:01PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
120,167208,62602,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-30 4:53 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
121,182098,43078,TB_FLIGHTS_DIRTY,actualdeparture,'4:54pDec 20','5:00 PMDec 31',2017-10-16 15:55:14.939421
122,177903,69702,TB_FLIGHTS_DIRTY,actualdeparture,'4:47pJan 2','5:00 PMDec 31',2017-10-16 15:55:14.939421
123,29970,30059,TB_FLIGHTS_DIRTY,actualdeparture,'12/14/11 6:45 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
124,49235,45564,TB_FLIGHTS_DIRTY,actualdeparture,'12/22/11 6:06 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
125,208280,2869,TB_FLIGHTS_DIRTY,actualdeparture,'5:28 PMDec 02','5:00 PMDec 31',2017-10-16 15:55:14.939421
126,55414,50267,TB_FLIGHTS_DIRTY,actualdeparture,'12/25/11 5:16 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
127,209703,20246,TB_FLIGHTS_DIRTY,actualdeparture,'December 10  2011               04:52 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
128,206467,25073,TB_FLIGHTS_DIRTY,actualdeparture,'5:21pDec 12','5:00 PMDec 31',2017-10-16 15:55:14.939421
129,176092,35672,TB_FLIGHTS_DIRTY,actualdeparture,'4:44pDec 17','5:00 PMDec 31',2017-10-16 15:55:14.939421
130,64187,57535,TB_FLIGHTS_DIRTY,actualdeparture,'12/28/11 5:07 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
131,114116,17714,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-09 05:04PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
132,171776,67282,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-01 4:48 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
133,205198,50277,TB_FLIGHTS_DIRTY,actualdeparture,'5:16 PMDec 25','5:00 PMDec 31',2017-10-16 15:55:14.939421
134,202341,7605,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 04','5:00 PMDec 31',2017-10-16 15:55:14.939421
135,75314,65022,TB_FLIGHTS_DIRTY,actualdeparture,'12/31/11 5:00 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
136,80964,12830,TB_FLIGHTS_DIRTY,actualdeparture,'12/7/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
137,207793,27549,TB_FLIGHTS_DIRTY,actualdeparture,'5:25 PMDec 13','5:00 PMDec 31',2017-10-16 15:55:14.939421
138,107878,12840,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-07 5:12 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
139,104686,10104,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-05 5:01 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
140,123940,25063,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-12 05:21 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
141,54858,50266,TB_FLIGHTS_DIRTY,actualdeparture,'12/25/11 5:16 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
142,184632,40601,TB_FLIGHTS_DIRTY,actualdeparture,'4:56 PMDec 19','5:00 PMDec 31',2017-10-16 15:55:14.939421
143,127642,27539,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-13 05:25PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
144,202219,7604,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 04','5:00 PMDec 31',2017-10-16 15:55:14.939421
145,60927,55049,TB_FLIGHTS_DIRTY,actualdeparture,'12/27/11 5:00 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
146,134018,33149,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-16 05:22PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
147,177647,69701,TB_FLIGHTS_DIRTY,actualdeparture,'4:47pJan 2','5:00 PMDec 31',2017-10-16 15:55:14.939421
148,209911,52606,TB_FLIGHTS_DIRTY,actualdeparture,'December 26  2011               04:50 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
149,113677,17713,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-09 05:04PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
150,171498,67281,TB_FLIGHTS_DIRTY,actualdeparture,'2012-01-01 4:48 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
151,194784,43077,TB_FLIGHTS_DIRTY,actualdeparture,'5:05 PMDec 20','5:00 PMDec 31',2017-10-16 15:55:14.939421
152,40032,38034,TB_FLIGHTS_DIRTY,actualdeparture,'12/18/2011 5:01PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
153,202944,12841,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 07','5:00 PMDec 31',2017-10-16 15:55:14.939421
154,207926,22529,TB_FLIGHTS_DIRTY,actualdeparture,'5:25pDec 11','5:00 PMDec 31',2017-10-16 15:55:14.939421
155,69540,5401,TB_FLIGHTS_DIRTY,actualdeparture,'12/3/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
156,196143,48120,TB_FLIGHTS_DIRTY,actualdeparture,'5:06 PMDec 24','5:00 PMDec 31',2017-10-16 15:55:14.939421
157,206941,33161,TB_FLIGHTS_DIRTY,actualdeparture,'5:23 PMDec 16','5:00 PMDec 31',2017-10-16 15:55:14.939421
158,162998,60103,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-29 04:48 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
159,64728,57536,TB_FLIGHTS_DIRTY,actualdeparture,'12/28/11 5:07 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
160,197277,35671,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 17','5:00 PMDec 31',2017-10-16 15:55:14.939421
161,208221,2868,TB_FLIGHTS_DIRTY,actualdeparture,'5:28 PMDec 02','5:00 PMDec 31',2017-10-16 15:55:14.939421
162,48669,43060,TB_FLIGHTS_DIRTY,actualdeparture,'12/20/2011 5:05PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
163,3869,69684,TB_FLIGHTS_DIRTY,actualdeparture,'1/2/12 5:08 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
164,209390,45579,TB_FLIGHTS_DIRTY,actualdeparture,'6:06 PMDec 22','5:00 PMDec 31',2017-10-16 15:55:14.939421
165,163916,60101,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-29 05:15PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
166,104225,10096,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-05 5:01 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
167,69009,5400,TB_FLIGHTS_DIRTY,actualdeparture,'12/3/11 5:12 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
168,129259,30064,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-14 06:19 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
169,199256,57549,TB_FLIGHTS_DIRTY,actualdeparture,'5:07 PMDec 28','5:00 PMDec 31',2017-10-16 15:55:14.939421
170,89463,289,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-01 05:08 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
171,7068,72071,TB_FLIGHTS_DIRTY,actualdeparture,'1/3/12 5:32 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
172,53742,48105,TB_FLIGHTS_DIRTY,actualdeparture,'12/24/11 5:06 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
173,207525,27545,TB_FLIGHTS_DIRTY,actualdeparture,'5:25 PMDec 13','5:00 PMDec 31',2017-10-16 15:55:14.939421
174,208845,22526,TB_FLIGHTS_DIRTY,actualdeparture,'5:41 PMDec 11','5:00 PMDec 31',2017-10-16 15:55:14.939421
175,166913,62601,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-30 4:53 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
176,205855,15160,TB_FLIGHTS_DIRTY,actualdeparture,'5:21 PMDec 08','5:00 PMDec 31',2017-10-16 15:55:14.939421
177,72179,62594,TB_FLIGHTS_DIRTY,actualdeparture,'12/30/11 5:14 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
178,111912,15167,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-08 5:05 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
179,118880,20257,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-10 4:52 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
180,164221,60115,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-29 05:15PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
181,14650,282,TB_FLIGHTS_DIRTY,actualdeparture,'12/1/11 5:09 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
182,179914,17726,TB_FLIGHTS_DIRTY,actualdeparture,'4:51pDec 9','5:00 PMDec 31',2017-10-16 15:55:14.939421
183,208980,25066,TB_FLIGHTS_DIRTY,actualdeparture,'5:45 PMDec 12','5:00 PMDec 31',2017-10-16 15:55:14.939421
184,3228,67271,TB_FLIGHTS_DIRTY,actualdeparture,'1/1/2012 5:23PM EST','5:00 PMDec 31',2017-10-16 15:55:14.939421
185,18384,20250,TB_FLIGHTS_DIRTY,actualdeparture,'12/10/11 5:01 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
186,120158,22519,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-11 05:25 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
187,138634,35673,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-17 4:44 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
188,142369,40588,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-19 04:44 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
