"oid","prno","hospitalname","address","city","state","zip","countryname","phone","hospitaltype","hospitalowner","emergencyservice","condition","mc","measurename","score","sample","stateavg"
"68","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","g2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Surgical Infection Prevention","AMI-1","surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","78%","76 patients","AL_SCIP-VTE-1"
"118","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","3344933514","Acute Care Hospitals","Voluntary non-profit - Private","No","Surgical Infection Prevention","AMI-2","surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","87%","77 patients","AL_SCIP-VTE-1"
"70","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","2567688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Attack","AMI-1","Heart Attack Patients Given Aspirin at Arrival","97%","159 patients","AL_AMI-1"
"71","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35660","LAUDERDALE","2567688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","96%","247 patients","AL_AMI-2"
"73","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","256688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Attack","AMI-4","Heart Attack Patients Given Smoking Cessation Advice/Counseling","100%","103 patients","AL_AMI-4"
"74","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","2576688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Attack","AMI-5","Heart Attack Patients Given Beta Blocker at Discharge","96%","227 patients","AL_AMI-5"
"75","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","2567688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Attack","AMI-7A","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","","0 patients","AL_AMI-7A"
"77","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35233","LAUDERDALE","2657688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Failure","AMI-2","Heart Failure Patients Given Discharge Instructions","79%","217 patients","AL_HF-1"
"78","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35660","LAUDERDALE","2567688400***","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Heart Failure","AMI-3","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","97%","259 patients","AL_HF-2"
"82","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","256768840h0","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Pneumonia","AMI-1","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","95%","137 patients","AL_PN-3B"
"84","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35233","LAUDERDALE","25676p88400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Pneumonia","PN-5C","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","96%","200 patients","AL_PN-5C"
"86","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","256768840q0","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Pneumonia","AMI-5","Pneumonia Patients Assessed and Given Influenza Vaccination","88%","85 patients","AL_PN-7"
"87","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","256688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Surgical Infection Prevention","AMI-1","surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery","96%","107 patients","AL_SCIP-CARD-2"
"88","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35233","LAUDERDALE","267688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Surgical Infection Prevention","AMI-1","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","99%","457 patients","AL_SCIP-INF-1"
"89","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","j2567688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Surgical Infection Prevention","AMI-2","surgery patients who were given the  right kind  of antibiotic to help prevent infection","99%","462 patients","AL_SCIP-INF-2"
"92","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","2567688400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Surgical Infection Prevention","AMI-2","surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)","100%","619 patients","AL_SCIP-INF-6"
"94","10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","L","35631","LAUDERDALE","256788400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Surgical Infection Prevention","PN-5C","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","92%","242 patients","AL_SCIP-VTE-2"
"96","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","L","36467","COVINGTON","3344933541","Acute Care Hospitals","Voluntary non-profit - Private","No","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","50%","2 patients","AL_AMI-2"
"97","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","35233","COVINGTON","3344933541","Acute Care Hospitals","Voluntary non-profit - Private","No","Heart Attack","AMI-3","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","","0 patients","AL_AMI-3"
"98","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","3344933541","Acute Care Hospitals","Voluntary non-profit - Private","No","Heart Attack","AMI-4","Heart Attack Patients Given Smoking Cessation Advice/Counseling","","0 patients","AL_AMI-4"
"99","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","35660","COVINGTON","344933541","Acute Care Hospitals","Voluntary non-profit - Private","No","Heart Attack","AMI-5","Heart Attack Patients Given Beta Blocker at Discharge","100%","2 patients","AL_AMI-5"
"102","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","35233","COVINGTON","3344933451","Acute Care Hospitals","Voluntary non-profit - Private","No","Heart Failure","HF-1","Heart Failure Patients Given Discharge Instructions","98%","59 patients","AL_HF-1"
"107","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","35660","COVINGTON","3344935341","Acute Care Hospitals","Voluntary non-profit - Private","No","Pneumonia","AMI-1","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","78%","64 patients","AL_PN-3B"
"108","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","3344933541***","Acute Care Hospitals","Voluntary non-profit - Private","No","Pneumonia","AMI-1","Pneumonia Patients Given Smoking Cessation Advice/Counseling","100%","28 patients","AL_PN-4"
"110","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","334933541","Acute Care Hospitals","Voluntary non-profit - Private","No","Pneumonia","AMI-7A","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","88%","57 patients","AL_PN-6"
"111","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","334493541","Acute Care Hospitals","Voluntary non-profit - Private","No","Pneumonia","AMI-2","Pneumonia Patients Assessed and Given Influenza Vaccination","90%","63 patients","AL_PN-7"
"113","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","sAL","36467","COVINGTON","3344933541***","Acute Care Hospitals","Voluntary non-profit - Private","No","Surgical Infection Prevention","AMI-3","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","88%","101 patients","AL_SCIP-INF-1"
"115","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","35660","COVINGTON","3344933514","Acute Care Hospitals","Voluntary non-profit - Private","No","Surgical Infection Prevention","AMI-1","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","93%","100 patients","AL_SCIP-INF-3"
"119","10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","L","36467","COVINGTON","3349433541","Acute Care Hospitals","Voluntary non-profit - Private","No","Surgical Infection Prevention","AMI-1","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","88%","76 patients","AL_SCIP-VTE-2"
"120","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Heart Attack","AMI-1","Heart Attack Patients Given Aspirin at Arrival","0%","1 patients","AL_AMI-1"
"121","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","35233","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","100%","1 patients","AL_AMI-2"
"122","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Heart Attack","AMI-3","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","","0 patients","AL_AMI-3"
"123","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","35660","CRENSHAW","334353374","Acute Care Hospitals","Government - Federal","Yes","Heart Attack","AMI-4","Heart Attack Patients Given Smoking Cessation Advice/Counseling","","0 patients","AL_AMI-4"
"124","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Heart Attack","AMI-5","Heart Attack Patients Given Beta Blocker at Discharge","0%","1 patients","AL_AMI-5"
"127","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","35233","CRENSHAW","343353374","Acute Care Hospitals","Government - Federal","Yes","Heart Failure","AMI-1","Heart Failure Patients Given Discharge Instructions","4%","26 patients","AL_HF-1"
"128","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","334335374","Acute Care Hospitals","Government - Federal","Yes","Heart Failure","AMI-5","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","72%","39 patients","AL_HF-2"
"129","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","aAL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Heart Failure","AMI-1","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75%","8 patients","AL_HF-3"
"130","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","3343533374","Acute Care Hospitals","Government - Federal","Yes","Heart Failure","AMI-3","Heart Failure Patients Given Smoking Cessation Advice/Counseling","0%","5 patients","AL_HF-4"
"131","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","3343353374***","Acute Care Hospitals","Government - Federal","Yes","Pneumonia","AMI-4","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","25%","16 patients","AL_PN-2"
"133","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AcL","36049","CRENSHAW","3343353374***","Acute Care Hospitals","Government - Federal","Yes","Pneumonia","AMI-1","Pneumonia Patients Given Smoking Cessation Advice/Counseling","33%","9 patients","AL_PN-4"
"134","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","LA","36049","CRENSHAW","3343353734","Acute Care Hospitals","Government - Federal","Yes","Pneumonia","AMI-3","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","95%","21 patients","AL_PN-5C"
"138","10008","CRENSHAW COMMUNITY HOSPITAL","1720 UNIVERSITY BLVD","LUVERNE","AL","35233","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Surgical Infection Prevention","AMI-4","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","100%","2 patients","AL_SCIP-INF-1"
"139","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","35233","CRENSHAW","334335334","Acute Care Hospitals","Government - Federal","Yes","Surgical Infection Prevention","SCIP-INF-2","surgery patients who were given the  right kind  of antibiotic to help prevent infection","100%","2 patients","AL_SCIP-INF-2"
"140","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","35233","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","Surgical Infection Prevention","AMI-1","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","100%","2 patients","AL_SCIP-INF-3"
"144","10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","35233","CRENSHAW","3343335374","Acute Care Hospitals","Government - Federal","Yes","Surgical Infection Prevention","AMI-2","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","100%","4 patients","AL_SCIP-VTE-2"
"145","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","AL","35640","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","Heart Attack","AMI-1","Heart Attack Patients Given Aspirin at Arrival","100%","6 patients","AL_AMI-1"
"146","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","LA","35640","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","100%","1 patients","AL_AMI-2"
"147","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","LA","35640","MORGAN","256736511","Acute Care Hospitals","Proprietary","Yes","Heart Attack","AMI-3","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","100%","1 patients","AL_AMI-3"
"151","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","AL","35640","MORGAN","2567736e511","Acute Care Hospitals","Proprietary","Yes","Heart Attack","AMI-8A","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","","0 patients","AL_AMI-8A"
"154","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","AL","35640","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","Heart Failure","HF-3","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","100%","10 patients","AL_HF-3"
"155","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","AL","35233","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","Heart Failure","AMI-3","Heart Failure Patients Given Smoking Cessation Advice/Counseling","100%","12 patients","AL_HF-4"
"158","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","AL","35640","MORGAN","25677m36511","Acute Care Hospitals","Proprietary","Yes","Pneumonia","AMI-5","Pneumonia Patients Given Smoking Cessation Advice/Counseling","100%","25 patients","AL_PN-4"
"159","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","AL","35233","MORGAN","2567736151","Acute Care Hospitals","Proprietary","Yes","Pneumonia","AMI-5","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","98%","51 patients","AL_PN-5C"
"162","10009","HARTSELLE MEDICAL CENTER","1720 UNIVERSITY BLVD","HARTSELLE","AL","35233","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","Surgical Infection Prevention","AMI-4","surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery","67%","3 patients","AL_SCIP-CARD-2"
"163","10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","HARTSELLE","qAL","35640","MORGAN","256773651","Acute Care Hospitals","Proprietary","Yes","Surgical Infection Prevention","AMI-2","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","100%","6 patients","AL_SCIP-INF-1"
