prno,hospitalname,address,city,state,zip,countryname,phone,hospitaltype,hospitalowner,emergencyservice,condition,mc,measurename,score,sample,stateavg
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2n563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-1,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),92%,37 patients,AL_HF-3
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,41 patients,AL_HF-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,35233.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,98%,270 patients,AL_AMI-1
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,35233.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,99%,516 patients,AL_AMI-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),96%,71 patients,AL_AMI-3
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3374938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,244 patients,AL_AMI-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,99%,441 patients,AL_AMI-5
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,a3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,NULL,0 patients,AL_AMI-7A
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,334738701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,72%,40 patients,AL_AMI-8A
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,35660.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-3,Heart Failure Patients Given Discharge Instructions,78%,455 patients,AL_HF-1
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,35233.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-3,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,99%,514 patients,AL_HF-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347398701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),91%,165 patients,AL_HF-3
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-1,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,110 patients,AL_HF-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,35233.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-5,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,93%,191 patients,AL_PN-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,89%,125 patients,AL_PN-3B
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,334793801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-1,Pneumonia Patients Given Smoking Cessation Advice/Counseling,99%,107 patients,AL_PN-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-7A,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,92%,196 patients,AL_PN-5C
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,35233.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-2,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),80%,147 patients,AL_PN-6
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,33d47938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-1,Pneumonia Patients Assessed and Given Influenza Vaccination,84%,160 patients,AL_PN-7
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3437938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-5,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,72%,79 patients,AL_SCIP-CARD-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,399 patients,AL_SCIP-INF-1
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347983701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,405 patients,AL_SCIP-INF-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,35233.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,385 patients,AL_SCIP-INF-3
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,35660.0,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-1,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96%,136 patients,AL_SCIP-INF-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-4,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),90%,537 patients,AL_SCIP-INF-6
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,334793871,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-4,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,185 patients,AL_SCIP-VTE-1
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,334798701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,184 patients,AL_SCIP-VTE-2
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,80%,20 patients,AL_AMI-1
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,60%,5 patients,AL_AMI-2
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35660.0,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),100%,2 patients,AL_AMI-3
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,NULL,0 patients,AL_AMI-4
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2m565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,100%,5 patients,AL_AMI-5
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938y310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,NULL,0 patients,AL_AMI-7A
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35233.0,MARSHALL,2569538310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,NULL,0 patients,AL_AMI-8A
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35233.0,MARSHALL,256f5938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-1,Heart Failure Patients Given Discharge Instructions,78%,110 patients,AL_HF-1
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-1,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,99%,160 patients,AL_HF-2
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-2,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),90%,69 patients,AL_HF-3
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35233.0,MARSHALL,256593h8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,AMI-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,94%,34 patients,AL_HF-4
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-1,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,97%,172 patients,AL_PN-2
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35660.0,MARSHALL,2p565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-2,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,97%,120 patients,AL_PN-3B
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2556938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,97%,98 patients,AL_PN-4
10005,MARSHALL MEDICAL CENTER SOUTH,1720 UNIVERSITY BLVD,BOAZ,AL,35233.0,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-2,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,96%,211 patients,AL_PN-5C
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-7A,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),92%,175 patients,AL_PN-6
10005,MARSHALL MEDICAL CENTER SOUTH,1720 UNIVERSITY BLVD,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,AMI-1,Pneumonia Patients Assessed and Given Influenza Vaccination,81%,118 patients,AL_PN-7
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2569538310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,36%,14 patients,AL_SCIP-CARD-2
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96%,168 patients,AL_SCIP-INF-1
10005,MARSHALL MEDICAL CENTER SOUTH,1720 UNIVERSITY BLVD,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-1,surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,167 patients,AL_SCIP-INF-2
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-1,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95%,158 patients,AL_SCIP-INF-3
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-7A,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,NULL,0 patients,AL_SCIP-INF-4
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35233.0,MARSHALL,565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-7A,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,237 patients,AL_SCIP-INF-6
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,g2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,78%,76 patients,AL_SCIP-VTE-1
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,5265938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,AMI-4,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,74%,76 patients,AL_SCIP-VTE-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,97%,159 patients,AL_AMI-1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35660.0,LAUDERDALE,2567688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,96%,247 patients,AL_AMI-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),93%,43 patients,AL_AMI-3
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,256688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,103 patients,AL_AMI-4
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2576688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,96%,227 patients,AL_AMI-5
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,NULL,0 patients,AL_AMI-7A
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,567688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,98%,61 patients,AL_AMI-8A
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35233.0,LAUDERDALE,2657688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,AMI-2,Heart Failure Patients Given Discharge Instructions,79%,217 patients,AL_HF-1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35660.0,LAUDERDALE,2567688400***,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,AMI-3,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,97%,259 patients,AL_HF-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35233.0,LAUDERDALE,257688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,AMI-4,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),82%,84 patients,AL_HF-3
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,AMI-3,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,53 patients,AL_HF-4
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35233.0,LAUDERDALE,256768400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,AMI-3,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,90%,174 patients,AL_PN-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,256768840h0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,AMI-1,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,95%,137 patients,AL_PN-3B
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567868400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,AMI-5,Pneumonia Patients Given Smoking Cessation Advice/Counseling,100%,65 patients,AL_PN-4
