~0~,ua,UA-2708-EWR-CLT,Thu_ Dec 1 2:55 PM,Thu_ Dec 1 2:55 PM,A37,Thu_ Dec 1 4:53 PM,Thu_ Dec 1 4:44 PM,C5
~31~,flightstats,UA-3925-IAD-ORF,2011-12-01 8:41 AM,2011-12-01 8:42 AM,,2011-12-01 9:54 AM,2011-12-01 9:43 AM,
~32~,quicktrip,UA-3925-IAD-ORF,2011-12-01 8:41 AM,2011-12-01 8:42 AM,,2011-12-01 9:54 AM,2011-12-01 9:43 AM,
~33~,flightview,UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
~34~,panynj,UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
~35~,gofox,UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
~36~,foxbusiness,UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
~37~,allegiantair,UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
~38~,boston,UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:40 AMDec 01,
~39~,travelocity,UA-3925-IAD-ORF,Dec 01 - Not Available,Dec 01 - 9:00am,A2G,Dec 01 - Not Available,Dec 01 - 9:43am,CHK
~40~,orbitz,UA-3925-IAD-ORF,8:41aDec 1,,-,9:54aDec 1,,-
~41~,weather,UA-3925-IAD-ORF,2011-12-01 08:41 AM,,,2011-12-01 09:54 AM,,
~42~,ifly,UA-3925-IAD-ORF,2011-12-01 8:41 AM,2011-12-01 8:42 AM,,2011-12-01 9:54 AM,2011-12-01 9:43 AM,
~43~,usatoday,UA-3925-IAD-ORF,2011-12-01 08:41 AM,,,2011-12-01 09:54 AM,,
~44~,mytripandmore,UA-3925-IAD-ORF,8:41aDec 1,,-,9:54aDec 1,,-
~45~,flightwise,UA-3925-IAD-ORF,2011-12-01 08:41AM EST,2011-12-01 08:51AM EST,A2A,2011-12-01 09:34AM EST,2011-12-01 09:44AM EST,
~46~,flightarrival,UA-3925-IAD-ORF,2011-12-01 08:41 AM,,,2011-12-01 09:54 AM,,
~47~,aa,AA-649-ORD-SNA,12/01/2011 01:30 PM,,H10,12/01/2011 03:50 PM,,7
~48~,flightexplorer,AA-649-ORD-SNA,12/1/2011 1:30PM CST,,,12/1/2011 3:50PM PST,,
~49~,airtravelcenter,AA-649-ORD-SNA,,12/1/11 1:41 PM (-06:00),,,12/1/11 3:29 PM (-08:00),
~50~,myrateplan,AA-649-ORD-SNA,,12/1/11 1:41 PM (-06:00),,,12/1/11 3:29 PM (-08:00),
~51~,helloflight,AA-649-ORD-SNA,,12/1/11 1:41 PM (-06:00),,,12/1/11 3:29 PM (-08:00),
~52~,flytecomm,AA-649-ORD-SNA,,12/1/11 1:41 PM (-06:00),,,12/1/11 3:29 PM (-08:00),
~53~,flightaware,AA-649-ORD-SNA,2011-12-01 01:30PM CST,2011-12-01 01:40PM CST,H10,2011-12-01 03:30PM PST,2011-12-01 03:40PM PST,7
~54~,wunderground,AA-649-ORD-SNA,2011-12-01 01:30PM CST,2011-12-01 01:40PM CST,H10,2011-12-01 03:30PM PST,2011-12-01 03:40PM PST,7
~55~,flights,AA-649-ORD-SNA,01:30 PM  Thu 01-Dec-2011,,H10,03:50 PM  Thu 01-Dec-2011,,7
~56~,businesstravellogue,AA-649-ORD-SNA,01:30 PM  Thu 01-Dec-2011,,H10,03:50 PM  Thu 01-Dec-2011,,7
~57~,flylouisville,AA-649-ORD-SNA,01:30 PM  Thu 01-Dec-2011,,H10,03:50 PM  Thu 01-Dec-2011,,7
~58~,world-flight-tracker,AA-649-ORD-SNA,2011-12-01 1:30 PM,2011-12-01 1:41 PM (Estimated runway),,2011-12-01 3:50 PM,2011-12-01 3:29 PM (Estimated runway),
~59~,flightview,AA-649-ORD-SNA,1:30 PM_ Dec 01,,H10,3:50 PM_ Dec 01,,~Terminal A - 7~
~60~,panynj,AA-649-ORD-SNA,1:30 PM_ Dec 01,,H10,3:50 PM_ Dec 01,,~Terminal A - 7~
~61~,gofox,AA-649-ORD-SNA,1:30 PM_ Dec 01,,,3:50 PM_ Dec 01,,
~62~,foxbusiness,AA-649-ORD-SNA,1:30 PM_ Dec 01,,H10,3:50 PM_ Dec 01,,~Terminal A - 7~
~63~,allegiantair,AA-649-ORD-SNA,1:30 PM_ Dec 01,,H10,3:50 PM_ Dec 01,,~Terminal A - 7~
~64~,boston,AA-649-ORD-SNA,1:30 PM_ Dec 01,Not Available,,3:50 PM_ Dec 01,Not Available,
~65~,travelocity,AA-649-ORD-SNA,Dec 01 - 1:30pm,Dec 01 - Not Available,H10/T3,Dec 01 - 3:50pm,Dec 01 - Not Available,7
~66~,orbitz,AA-649-ORD-SNA,1:30pDec 1,,H10,3:50pDec 1,,7
~67~,weather,AA-649-ORD-SNA,2011-12-01 01:30 PM,,,2011-12-01 03:50 PM,,
~68~,mytripandmore,AA-649-ORD-SNA,Dec 01 - 1:30pm,Dec 01 - Not Available,H10/T3,Dec 01 - 3:50pm,Dec 01 - Not Available,7
~69~,ua,UA-382-IAD-LAX,Thu_ Dec 1 12:30 PM,Thu_ Dec 1 12:35 PM            Delayed,D1,Thu_ Dec 1 3:19 PM,Thu_ Dec 1 3:11 PM,75B
~70~,ua,UA-382-IAD-LAX,Thu_ Dec 1 12:30 PM,Thu_ Dec 1 12:35 PM            Delayed,D1,Thu_ Dec 1 3:19 PM,Thu_ Dec 1 3:11 PM,75B
~71~,ua,UA-382-IAD-LAX,Thu_ Dec 1 12:30 PM,Thu_ Dec 1 12:35 PM            Delayed,D1,Thu_ Dec 1 3:19 PM,Thu_ Dec 1 3:21 PM,75B
~72~,ua,UA-382-IAD-LAX,Thu_ Dec 1 12:30 PM,Thu_ Dec 1 12:35 PM            Delayed,D1,Thu_ Dec 1 3:19 PM,Thu_ Dec 1 3:21 PM,75B
~73~,flightexplorer,UA-382-IAD-LAX,,12/1/2011 12:55PM EST,,,12/1/2011 3:12PM PST,
~74~,flightexplorer,UA-382-IAD-LAX,,12/1/2011 12:55PM EST,,,12/1/2011 3:12PM PST,
~75~,flightexplorer,UA-382-IAD-LAX,,12/1/2011 12:55PM EST,,,12/1/2011 3:07PM PST,
~76~,flightexplorer,UA-382-IAD-LAX,,12/1/2011 12:55PM EST,,,12/1/2011 3:07PM PST,
~77~,airtravelcenter,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~78~,airtravelcenter,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~79~,airtravelcenter,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~80~,airtravelcenter,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~81~,myrateplan,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~82~,myrateplan,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~83~,myrateplan,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~84~,myrateplan,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~85~,helloflight,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~86~,helloflight,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~87~,helloflight,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~88~,helloflight,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~89~,flytecomm,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~90~,flytecomm,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
~91~,flytecomm,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~92~,flytecomm,UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
~93~,flightaware,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:15PM PST,75B
~94~,flightaware,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:15PM PST,75B
~95~,flightaware,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:07PM PST,75B
~96~,flightaware,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:07PM PST,75B
~97~,wunderground,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:15PM PST,75B
~98~,wunderground,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:15PM PST,75B
~99~,wunderground,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:07PM PST,75B
~100~,wunderground,UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST,D1,2011-12-01 02:48PM PST,2011-12-01 03:07PM PST,75B
~101~,flights,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
~102~,flights,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
~103~,flights,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
~104~,flights,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
~105~,businesstravellogue,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
~106~,businesstravellogue,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
~107~,businesstravellogue,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
~108~,businesstravellogue,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
~109~,flylouisville,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
~110~,flylouisville,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
~111~,flylouisville,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
~112~,flylouisville,UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
~113~,flightstats,UA-382-IAD-LAX,2011-12-01 12:30 PM,2011-12-01 12:35 PM,,2011-12-01 3:19 PM,2011-12-01 3:21 PM,
~114~,flightstats,UA-382-IAD-LAX,2011-12-01 12:30 PM,2011-12-01 12:35 PM,,2011-12-01 3:19 PM,2011-12-01 3:21 PM,
~115~,quicktrip,UA-382-IAD-LAX,2011-12-01 12:30 PM,2011-12-01 12:35 PM,,2011-12-01 3:19 PM,2011-12-01 3:21 PM,
~116~,quicktrip,UA-382-IAD-LAX,2011-12-01 12:30 PM,2011-12-01 12:35 PM,,2011-12-01 3:19 PM,2011-12-01 3:21 PM,
~117~,flightview,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~118~,flightview,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~119~,flightview,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~120~,flightview,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~121~,panynj,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~122~,panynj,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~123~,panynj,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~124~,panynj,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~125~,gofox,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~126~,gofox,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~127~,gofox,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~128~,gofox,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~129~,foxbusiness,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~130~,foxbusiness,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~131~,foxbusiness,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~132~,foxbusiness,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~133~,allegiantair,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~134~,allegiantair,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
~135~,allegiantair,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~136~,allegiantair,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
~137~,boston,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:07 PMDec 01,
~138~,boston,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:07 PMDec 01,
~139~,boston,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
~140~,boston,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
~141~,orbitz,UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1,D1,3:19pDec 1,3:21pDec 1,75B
~142~,orbitz,UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1,D1,3:19pDec 1,3:21pDec 1,75B
~143~,orbitz,UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1,D1,3:03pDec 1,,75B
~144~,orbitz,UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1,D1,3:03pDec 1,,75B
~145~,iad,UA-382-IAD-LAX,2011-12-01 12:30,2011-12-01 12:30,,,,
~146~,iad,UA-382-IAD-LAX,2011-12-01 12:30,2011-12-01 12:30,,,,
~147~,usatoday,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
~148~,usatoday,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
~149~,mytripandmore,UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1,D1,3:03pDec 1,,75B
~150~,mytripandmore,UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1,D1,3:03pDec 1,,75B
~151~,flightarrival,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
~152~,flightarrival,UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
~153~,aa,AA-3063-SLC-LAX,12/01/2011 08:20 PM,12/01/2011 08:39 PM,A3,12/01/2011 09:20 PM,,44I
~154~,airtravelcenter,AA-3063-SLC-LAX,,12/1/11 8:40 PM (-07:00),,,12/1/11 9:12 PM (-08:00),
~155~,myrateplan,AA-3063-SLC-LAX,,12/1/11 8:40 PM (-07:00),,,12/1/11 9:12 PM (-08:00),
~156~,helloflight,AA-3063-SLC-LAX,,12/1/11 8:40 PM (-07:00),,,12/1/11 9:12 PM (-08:00),
~157~,flytecomm,AA-3063-SLC-LAX,,12/1/11 8:40 PM (-07:00),,,12/1/11 9:12 PM (-08:00),
~158~,flightaware,AA-3063-SLC-LAX,2011-12-01 08:20PM MST,2011-12-01 08:40PM MST,A3,2011-12-01 09:10PM PST,2011-12-01 09:11PM PST,44I
~159~,wunderground,AA-3063-SLC-LAX,2011-12-01 08:20PM MST,2011-12-01 08:40PM MST,A3,2011-12-01 09:10PM PST,2011-12-01 09:11PM PST,44I
~160~,flights,AA-3063-SLC-LAX,,2011-12-01 08:39 PM,A3,,2011-12-01 09:20 PM,44
~161~,businesstravellogue,AA-3063-SLC-LAX,,2011-12-01 08:39 PM,A3,,2011-12-01 09:20 PM,44
~162~,flylouisville,AA-3063-SLC-LAX,,2011-12-01 08:39 PM,A3,,2011-12-01 09:20 PM,44
~163~,flightstats,AA-3063-SLC-LAX,2011-12-01 8:20 PM,2011-12-01 8:39 PM,,2011-12-01 9:20 PM,2011-12-01 9:19 PM (Estimated),
~164~,quicktrip,AA-3063-SLC-LAX,2011-12-01 8:20 PM,2011-12-01 8:39 PM,,2011-12-01 9:20 PM,2011-12-01 9:19 PM (Estimated),
~165~,flightview,AA-3063-SLC-LAX,,8:40 PMDec 01,,,9:11 PMDec 01,
~166~,panynj,AA-3063-SLC-LAX,,8:40 PMDec 01,,,9:11 PMDec 01,
~167~,gofox,AA-3063-SLC-LAX,,8:40 PMDec 01,,,9:11 PMDec 01,
~168~,foxbusiness,AA-3063-SLC-LAX,,8:40 PMDec 01,,,9:11 PMDec 01,
~169~,allegiantair,AA-3063-SLC-LAX,,8:40 PMDec 01,,,9:11 PMDec 01,
~170~,boston,AA-3063-SLC-LAX,,8:40 PMDec 01,,,9:11 PMDec 01,
~171~,travelocity,AA-3063-SLC-LAX,Dec 01 - 8:20pm,Dec 01 - 8:30pm,A3,Dec 01 - 9:20pm,Dec 01 - 9:19pm*,44I/T4
~172~,orbitz,AA-3063-SLC-LAX,8:20pDec 1,8:30pDec 1,A3,9:18pDec 1,,44I
~173~,weather,AA-3063-SLC-LAX,2011-12-01 08:20 PM,,,2011-12-01 09:20 PM,,
~174~,ifly,AA-3063-SLC-LAX,2011-12-01 8:20 PM,2011-12-01 8:39 PM,,2011-12-01 9:20 PM,2011-12-01 9:19 PM (Estimated),
~175~,mytripandmore,AA-3063-SLC-LAX,8:20pDec 1,8:30pDec 1,A3,9:18pDec 1,,44I
~176~,flightarrival,AA-3063-SLC-LAX,2011-12-01 8:20 PM,2011-12-01 8:39 PM,,2011-12-01 9:20 PM,2011-12-01 9:19 PM (Estimated),
~177~,aa,AA-222-LAX-BOS,12/01/2011 07:10 AM,12/01/2011 07:31 AM,47A,12/01/2011 03:30 PM,12/01/2011 03:14 PM,B36
~178~,flightexplorer,AA-222-LAX-BOS,,12/1/2011 7:32AM PST,,,12/1/2011 3:12PM EST,
~179~,airtravelcenter,AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
~180~,myrateplan,AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
~181~,helloflight,AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
~182~,flytecomm,AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
~183~,flightaware,AA-222-LAX-BOS,2011-12-01 07:10AM PST,2011-12-01 07:32AM PST,47A,2011-12-01 02:52PM EST,2011-12-01 03:12PM EST,B36
~184~,wunderground,AA-222-LAX-BOS,2011-12-01 07:10AM PST,2011-12-01 07:32AM PST,47A,2011-12-01 02:52PM EST,2011-12-01 03:12PM EST,B36
~185~,flights,AA-222-LAX-BOS,07:10 AM  Thu 01-Dec-2011,07:31 AM  Thu 01-Dec-2011,47A,03:30 PM  Thu 01-Dec-2011,03:14 PM  Thu 01-Dec-2011,B36
~186~,businesstravellogue,AA-222-LAX-BOS,07:10 AM  Thu 01-Dec-2011,07:31 AM  Thu 01-Dec-2011,47A,03:30 PM  Thu 01-Dec-2011,03:14 PM  Thu 01-Dec-2011,B36
~187~,flylouisville,AA-222-LAX-BOS,07:10 AM  Thu 01-Dec-2011,07:31 AM  Thu 01-Dec-2011,47A,03:30 PM  Thu 01-Dec-2011,03:14 PM  Thu 01-Dec-2011,B36
~188~,flightstats,AA-222-LAX-BOS,2011-12-01 7:10 AM,2011-12-01 7:31 AM,,2011-12-01 3:30 PM,2011-12-01 3:14 PM,
~189~,quicktrip,AA-222-LAX-BOS,2011-12-01 7:10 AM,2011-12-01 7:31 AM,,2011-12-01 3:30 PM,2011-12-01 3:14 PM,
~190~,world-flight-tracker,AA-222-LAX-BOS,2011-12-01 7:10 AM,2011-12-01 7:31 AM,,2011-12-01 3:30 PM,2011-12-01 3:14 PM,
~191~,flightview,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,~Terminal T4 - 47A~,3:30 PM_ Dec 01,3:14 PM_ Dec 01,~Terminal B - B36~
~192~,panynj,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,~Terminal T4 - 47A~,3:30 PM_ Dec 01,3:14 PM_ Dec 01,~Terminal B - B36~
~193~,gofox,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,,3:30 PM_ Dec 01,3:14 PM_ Dec 01,
~194~,foxbusiness,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,~Terminal T4 - 47A~,3:30 PM_ Dec 01,3:14 PM_ Dec 01,~Terminal B - B36~
~195~,allegiantair,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,~Terminal T4 - 47A~,3:30 PM_ Dec 01,3:14 PM_ Dec 01,~Terminal B - B36~
~196~,boston,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,,3:30 PM_ Dec 01,3:09 PM_ Dec 01,
~197~,travelocity,AA-222-LAX-BOS,Dec 01 - 7:10am,Dec 01 - 7:05am,47A/T4,Dec 01 - 3:30pm,Dec 01 - 3:14pm,B36
~198~,orbitz,AA-222-LAX-BOS,7:10aDec 1,7:05aDec 1,47A,3:30pDec 1,3:14pDec 1,B36
~199~,weather,AA-222-LAX-BOS,2011-12-01 07:10 AM,,,2011-12-01 03:30 PM,,
~200~,flightarrival,AA-222-LAX-BOS,7:10 AM_ Dec 01,7:32 AM_ Dec 01,,3:30 PM_ Dec 01,3:09 PM_ Dec 01,
~201~,aa,AA-3468-CVG-MIA,12/01/2011 07:00 AM,12/01/2011 07:25 AM,5,12/01/2011 09:55 AM,12/01/2011 09:45 AM,D60
~202~,flightexplorer,AA-3468-CVG-MIA,,12/1/2011 7:25AM EST,,,12/1/2011 9:29AM EST,
~203~,airtravelcenter,AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
~204~,myrateplan,AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
~205~,helloflight,AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
~206~,flytecomm,AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
~207~,flightaware,AA-3468-CVG-MIA,2011-12-01 07:00AM EST,2011-12-01 07:25AM EST,5,2011-12-01 09:45AM EST,2011-12-01 09:29AM EST,D60
~208~,wunderground,AA-3468-CVG-MIA,2011-12-01 07:00AM EST,2011-12-01 07:25AM EST,5,2011-12-01 09:45AM EST,2011-12-01 09:29AM EST,D60
~209~,flights,AA-3468-CVG-MIA,07:00 AM  Thu 01-Dec-2011,07:25 AM  Thu 01-Dec-2011,5,09:55 AM  Thu 01-Dec-2011,09:45 AM  Thu 01-Dec-2011,D60
